name,id,lat,lon,elev,timezone_lst,network
3 WNW WOFFORD HEIGHTS,WFHC1,35.7217,-118.4989,1220,Etc/GMT+8,hads
A.G.WISHON PH,AGWC1,37.1511,-119.505,318,Etc/GMT+8,hads
Alcalde,LDEC1,36.18333,-120.49861,838.17316,Etc/GMT+8,hads
ALPHA - FORNI RIDGE,AFRC1,38.8039,-120.2158,2319,Etc/GMT+8,hads
ALTAMONT,AATC1,37.6931,-121.6094,442,Etc/GMT+8,hads
Amsterdam Road - Merced River,MAJC1,37.46806,-120.54167,55.419376,Etc/GMT+8,hads
Argonaut Dam,ANUC1,38.35361,-120.79028,462.64612,Etc/GMT+8,hads
ARROYO SECO RAWS,ASRC1,36.23,-121.4917,446,Etc/GMT+8,hads
ASH MOUNTAIN RAWS,TSHC1,36.4917,-118.8261,521,Etc/GMT+8,hads
ATWELL CAMP,ATWC1,36.4639,-118.6311,2367,Etc/GMT+8,hads
AUBURN DAM RIDGE,ADRC1,38.8819,-121.045,354,Etc/GMT+8,hads
BALCH POWER HOUSE,DNPC1,36.9092,-119.0883,566,Etc/GMT+8,hads
BALD MOUNTAIN,BDMC1,38.9,-120.7,1349,Etc/GMT+8,hads
BALD MTN,BMOC1,37.0669,-119.4,1303,Etc/GMT+8,hads
BANGOR RAWS,BNGC1,39.3983,-121.4,286,Etc/GMT+8,hads
BATTERSON RAWS,BSNC1,37.3781,-119.6183,940,Etc/GMT+8,hads
BEACH MEADOWS,BCHC1,36.1269,-118.2931,2385,Etc/GMT+8,hads
Bear Peak,BPKC1,35.8882,-118.08942,2452.785,Etc/GMT+8,hads
BEAR RIVER - ROLLINS RSVR,ROLC1,39.1331,-120.9531,635,Etc/GMT+8,hads
BEARTRAP MEADOW,BTKC1,36.6764,-118.8589,2076,Etc/GMT+8,hads
BEAVER CAMP RAWS,COKC1,38.4883,-120.325,1547,Etc/GMT+8,hads
Ben Bolt,BENC1,38.59084,-120.93362,262.00888,Etc/GMT+8,hads
Benton - Dexter RAWS,DEXC1,37.8389,-118.772,2431.163,Etc/GMT+8,hads
BENTON RAWS @ BENTON,BETC1,37.8433,-118.4778,1672,Etc/GMT+8,hads
BIG MEADOWS,BIMC1,36.7167,-118.85,2341,Etc/GMT+8,hads
BIG PINE CREEK,BGPC1,37.1333,-118.4833,3282,Etc/GMT+8,hads
BIG PINE MEADOW,BPMC1,35.9411,-118.0625,2277,Etc/GMT+8,hads
Bishop - OVD No1,OVDC1,37.3844,-118.3939,1263.7714,Etc/GMT+8,hads
BISHOP PASS,BSHC1,37.1,-118.55,3475,Etc/GMT+8,hads
BLACKCAP BASIN GOES,BCBC1,37.0667,-118.7667,3143,Etc/GMT+8,hads
BLACK MOUNTAIN,HDZC1,36.3831,-120.8539,1117,Etc/GMT+8,hads
Black Rascal Diversion,BLQC1,37.33278,-120.39444,61.13341,Etc/GMT+8,hads
BLACKROCK,BKRC1,36.0931,-118.2614,2465,Etc/GMT+8,hads
BLACK SPRINGS,BLSC1,38.375,-120.1919,1996,Etc/GMT+8,hads
Blairsden - Denton Creek,MWKC1,39.7795,-120.5944,1556.8488,Etc/GMT+8,hads
BLOODS CREEK,BLCC1,38.45,-120.035,2207,Etc/GMT+8,hads
BLUE CANYON ETI,BCYC1,39.2831,-120.7,1631,Etc/GMT+8,hads
Blue Max,BMXC1,35.70972,-117.97194,1613.7645,Etc/GMT+8,hads
BOB RABBIT ALERT #1850,ABRC1,35.5675,-118.2883,1197,Etc/GMT+8,hads
BOWMAN LAKE,BOWC1,39.4481,-120.6536,1686,Etc/GMT+8,hads
BRADLEY RAWS,RBYC1,35.8642,-120.7997,168,Etc/GMT+8,hads
Briceburg - Merced River,MBGC1,37.60472,-119.96778,361.95337,Etc/GMT+8,hads
BRIDGEPORT RAWS,BPOC1,38.2719,-119.2892,2023,Etc/GMT+8,hads
BUCK MEADOWS RAWS,BMEC1,37.8233,-120.0983,977,Etc/GMT+8,hads
BUCKS CREEK PH - PGE,BUPC1,39.91,-121.3167,828,Etc/GMT+8,hads
Bullards Bar,WXBC1,39.39611,-121.14389,604.9709,Etc/GMT+8,hads
Bunning Ranch,BUNC1,37.3667,-119.8833,472,Etc/GMT+8,hads
CALAVERAS  BIG TREES,ARNC1,38.2769,-120.3113,1451,Etc/GMT+8,hads
CALAVERAS RANGER STN,CVSC1,38.1981,-120.3669,1037,Etc/GMT+8,hads
CAMP FAR WEST DAM (BEAR RIVER),CFWC1,39.0503,-121.3147,96,Etc/GMT+8,hads
Camp Mather,WXMC1,37.87806,-119.85944,1404.0258,Etc/GMT+8,hads
CAPLES LAKE (GOES),CPLC1,38.71,-120.0419,2451,Etc/GMT+8,hads
Carman Saddle,QCSC1,39.74694,-120.49556,1877,Etc/GMT+8,hads
CASA VIEJA MEADOWS,CVMC1,36.2,-118.2667,2558,Etc/GMT+8,hads
