block_id,n,accuracy,log_loss
"(np.int64(6), np.int64(169))",223925,0.8055286368203639,0.4280391930240552
"(np.int64(10), np.int64(169))",406471,0.7919999212735964,0.4569681436087497
"(np.int64(8), np.int64(167))",430625,0.7437701015965167,0.5378677591125325
"(np.int64(7), np.int64(175))",426765,0.7305495998968987,0.5634029599921884
"(np.int64(7), np.int64(170))",430625,0.7284087082728592,0.5686094970355395
"(np.int64(12), np.int64(175))",68432,0.7276566518587795,0.5551893879110599
"(np.int64(11), np.int64(175))",427023,0.7203897682326245,0.562212725617487
"(np.int64(7), np.int64(171))",430625,0.7043970972423803,0.613358594728055
"(np.int64(9), np.int64(170))",426676,0.7017666801038728,0.6054103181548791
"(np.int64(9), np.int64(167))",430625,0.6937195936139332,0.6137634552129987
"(np.int64(6), np.int64(174))",223537,0.6518786599086505,0.6521410733643181
