elev_bin,elev_mid,n,accuracy,snow_recall,frac_snow_obs,frac_snow_pred
"(0.0, 250.0]",125.0,81302,0.8168187744458931,0.9337375803623612,0.1683599419448476,0.264163243216649
"(250.0, 500.0]",375.0,281801,0.7946245754983127,0.9080716543730243,0.16838123356553028,0.26854056586030567
"(500.0, 750.0]",625.0,356902,0.7286061720023984,0.8563003832430289,0.16961518848311302,0.2851987380289267
"(750.0, 1000.0]",875.0,609701,0.6943288595557494,0.8199848468864188,0.1710166130611562,0.28605824822330944
"(1000.0, 1250.0]",1125.0,502018,0.6939392611420307,0.8263283467327024,0.17616300610735072,0.29082024947312646
"(1250.0, 1500.0]",1375.0,483304,0.7185063645241918,0.8533511402406178,0.18436429245361097,0.2828468210484498
"(1500.0, 1750.0]",1625.0,285988,0.7207610109515085,0.8530067225343033,0.18985062310306727,0.2766969243464761
"(1750.0, 2000.0]",1875.0,314819,0.7134480447495227,0.8556781004418361,0.18835584891636145,0.2871332416404347
"(2000.0, 2250.0]",2125.0,369895,0.7106097676367618,0.8567143727161998,0.17756390326984686,0.2933616296516579
"(2250.0, 2500.0]",2375.0,227957,0.7186399189320793,0.8676025623551861,0.16092947354106257,0.28874743921002644
"(2500.0, 2750.0]",2625.0,174599,0.7752564447677249,0.9053370894917608,0.14841436663440227,0.26137034003631177
"(2750.0, 3000.0]",2875.0,131109,0.8257251599813895,0.89771408679508,0.13146313372842444,0.20746859483330662
"(3000.0, 3250.0]",3125.0,50665,0.8420605940984901,0.8135160981829773,0.12383302082305339,0.16200532912266852
"(3250.0, 3500.0]",3375.0,3711,0.8323901913230936,0.7344497607655502,0.11263810293721369,0.14093236324440853
