n_points,n_eval,accuracy,macro_f1,multiclass_logloss,hour_utc
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-10-07 22:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2024-10-16 17:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2024-10-16 18:00:00+00:00
9,9,1.0,0.3333333333333333,2.2204460492503136e-16,2024-10-16 20:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2024-10-16 21:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2024-10-16 22:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-10-17 00:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2024-10-17 18:00:00+00:00
8,8,0.875,0.3111111111111111,4.544945050073217,2024-10-17 19:00:00+00:00
7,7,0.42857142857142855,0.19999999999999998,10.784979513243053,2024-10-17 21:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2024-10-17 22:00:00+00:00
7,7,0.42857142857142855,0.19999999999999998,8.985835826357436,2024-10-17 23:00:00+00:00
5,5,0.2,0.1111111111111111,2.5191698831193214,2024-10-18 00:00:00+00:00
3,3,0.6666666666666666,0.26666666666666666,12.019778729373499,2024-10-28 21:00:00+00:00
3,3,0.6666666666666666,0.26666666666666666,12.139967321511397,2024-10-28 22:00:00+00:00
27,27,0.7037037037037037,0.5,4.5045412041276744,2024-10-28 23:00:00+00:00
3,3,0.3333333333333333,0.16666666666666666,12.948253116472216,2024-10-29 00:00:00+00:00
4,4,0.0,0.0,19.287163726341845,2024-10-31 10:00:00+00:00
4,4,0.5,0.2222222222222222,18.0513748989974,2024-10-31 14:00:00+00:00
8,8,0.25,0.16666666666666666,2.622928532086954,2024-10-31 15:00:00+00:00
5,5,0.6,0.25,7.609170969642655,2024-11-02 04:00:00+00:00
5,5,0.8,0.2962962962962963,7.22357731549084,2024-11-02 05:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-02 14:00:00+00:00
3,3,0.3333333333333333,0.16666666666666666,13.13607447335143,2024-11-03 04:00:00+00:00
11,11,0.5454545454545454,0.26666666666666666,1.7372098923564885,2024-11-11 16:00:00+00:00
8,8,0.875,0.582010582010582,0.3802374272626722,2024-11-11 17:00:00+00:00
11,11,0.7272727272727273,0.407843137254902,0.6823577563613862,2024-11-11 18:00:00+00:00
21,21,0.7142857142857143,0.5106837606837606,1.0099019477767588,2024-11-11 19:00:00+00:00
36,36,0.6666666666666666,0.6074074074074074,3.1621280214282104,2024-11-11 20:00:00+00:00
31,31,0.6451612903225806,0.5543948804818369,3.2203989680294787,2024-11-11 21:00:00+00:00
26,26,0.5384615384615384,0.512962962962963,5.127719005675276,2024-11-11 22:00:00+00:00
5,5,0.2,0.1111111111111111,3.869283514542842,2024-11-11 23:00:00+00:00
3,3,0.6666666666666666,0.26666666666666666,12.017509367374386,2024-11-13 21:00:00+00:00
7,7,0.42857142857142855,0.4000000000000001,2.4418844455961013,2024-11-13 22:00:00+00:00
28,28,0.7142857142857143,0.5077658303464755,2.209832058060734,2024-11-13 23:00:00+00:00
10,10,0.6,0.25,4.95921814394733,2024-11-14 00:00:00+00:00
6,6,0.8333333333333334,0.5523809523809523,0.33673016670870776,2024-11-14 01:00:00+00:00
4,4,0.5,0.2222222222222222,10.316640857366677,2024-11-14 23:00:00+00:00
6,6,0.8333333333333334,0.30303030303030304,6.008448036748074,2024-11-15 00:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-15 02:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-15 07:00:00+00:00
13,13,0.7692307692307693,0.2898550724637681,5.743363436633473,2024-11-15 15:00:00+00:00
17,17,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-15 16:00:00+00:00
30,30,0.8333333333333334,0.30303030303030304,3.8125281979405043,2024-11-15 17:00:00+00:00
32,32,0.875,0.421455938697318,1.2954196845061317,2024-11-15 18:00:00+00:00
37,37,0.9459459459459459,0.32407407407407407,1.9929467259346518,2024-11-15 19:00:00+00:00
7,7,0.8571428571428571,0.3076923076923077,5.241221577597318,2024-11-15 20:00:00+00:00
14,14,0.9285714285714286,0.32098765432098764,2.615765858636892,2024-11-15 21:00:00+00:00
8,8,1.0,0.6666666666666666,0.08145129442870477,2024-11-15 22:00:00+00:00
6,6,0.8333333333333334,0.30303030303030304,6.030617826223556,2024-11-15 23:00:00+00:00
3,3,0.0,0.0,13.29539551676757,2024-11-16 00:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-18 03:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-18 07:00:00+00:00
4,4,0.25,0.13333333333333333,9.737496688734876,2024-11-20 17:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-20 18:00:00+00:00
5,5,0.6,0.25,14.584132596264064,2024-11-20 19:00:00+00:00
5,5,0.4,0.19047619047619047,0.636589299699488,2024-11-20 20:00:00+00:00
3,3,0.3333333333333333,0.16666666666666666,12.76809940739521,2024-11-20 21:00:00+00:00
8,8,0.5,0.2222222222222222,6.565312916382826,2024-11-20 22:00:00+00:00
6,6,0.5,0.2222222222222222,12.606135512823192,2024-11-20 23:00:00+00:00
9,9,0.7777777777777778,0.4523809523809524,0.34221616369892155,2024-11-21 00:00:00+00:00
10,10,0.8,0.5555555555555555,4.0620869267068835,2024-11-21 01:00:00+00:00
8,8,0.5,0.38888888888888884,5.3952903105667245,2024-11-21 02:00:00+00:00
8,8,0.875,0.3111111111111111,4.5297044919812635,2024-11-21 03:00:00+00:00
8,8,0.5,0.26666666666666666,5.1315574962459625,2024-11-21 04:00:00+00:00
10,10,0.8,0.5079365079365079,0.31648849494261067,2024-11-21 05:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-21 14:00:00+00:00
5,5,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-21 15:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-21 16:00:00+00:00
8,8,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-21 17:00:00+00:00
5,5,0.0,0.0,9.810332851896806,2024-11-21 18:00:00+00:00
3,3,0.0,0.0,13.841547057803366,2024-11-21 19:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-21 20:00:00+00:00
3,3,0.6666666666666666,0.26666666666666666,12.023796489745942,2024-11-21 21:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-21 22:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-22 00:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-22 02:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-22 15:00:00+00:00
7,7,0.2857142857142857,0.19047619047619047,6.193367155895475,2024-11-22 16:00:00+00:00
5,5,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-22 17:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-22 18:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-22 19:00:00+00:00
7,7,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-22 20:00:00+00:00
6,6,0.8333333333333334,0.30303030303030304,6.184018036412371,2024-11-22 21:00:00+00:00
9,9,1.0,0.6666666666666666,0.0839353783560588,2024-11-22 22:00:00+00:00
7,7,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-22 23:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-23 00:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-23 01:00:00+00:00
7,7,0.5714285714285714,0.2962962962962963,10.78159695515449,2024-11-23 02:00:00+00:00
7,7,0.7142857142857143,0.2777777777777778,5.298447182980412,2024-11-23 03:00:00+00:00
12,12,0.8333333333333334,0.3333333333333333,6.031304069061452,2024-11-23 04:00:00+00:00
13,13,0.6923076923076923,0.27272727272727276,5.770613490447501,2024-11-23 05:00:00+00:00
14,14,0.8571428571428571,0.3076923076923077,2.8059594206283056,2024-11-23 06:00:00+00:00
14,14,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-23 07:00:00+00:00
9,9,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-23 08:00:00+00:00
5,5,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-23 09:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-23 10:00:00+00:00
3,3,0.0,0.0,12.94620356728686,2024-11-23 11:00:00+00:00
5,5,0.0,0.0,9.130731924284001,2024-11-23 12:00:00+00:00
4,4,0.0,0.0,20.03359882799934,2024-11-23 13:00:00+00:00
8,8,0.5,0.3611111111111111,5.1507439623020455,2024-11-23 14:00:00+00:00
4,4,0.5,0.2222222222222222,10.913206327334661,2024-11-23 15:00:00+00:00
4,4,0.0,0.0,19.023731781801676,2024-11-23 16:00:00+00:00
13,13,0.5384615384615384,0.2333333333333333,4.022586257666619,2024-11-23 18:00:00+00:00
5,5,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-23 19:00:00+00:00
9,9,0.4444444444444444,0.20512820512820515,5.456853805542874,2024-11-23 20:00:00+00:00
19,19,0.8421052631578947,0.5123152709359605,3.8877530167416894,2024-11-23 21:00:00+00:00
16,16,0.9375,0.6543209876543209,2.3413991366800477,2024-11-23 22:00:00+00:00
9,9,1.0,1.0,0.3725150491924692,2024-11-23 23:00:00+00:00
13,13,0.6923076923076923,0.4411764705882353,3.7880469188173533,2024-11-24 00:00:00+00:00
4,4,0.75,0.2857142857142857,9.034573469107608,2024-11-24 01:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-25 14:00:00+00:00
10,10,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-25 15:00:00+00:00
16,16,0.625,0.41102756892230574,0.6048600356832479,2024-11-25 16:00:00+00:00
16,16,0.9375,0.6234817813765182,2.25287071244448,2024-11-25 17:00:00+00:00
14,14,0.6428571428571429,0.38730158730158726,0.8145610359701104,2024-11-25 18:00:00+00:00
10,10,0.8,0.5833333333333334,4.387911085714667,2024-11-25 19:00:00+00:00
37,37,0.6756756756756757,0.4991830065359477,2.796303295498072,2024-11-25 20:00:00+00:00
17,17,0.7058823529411765,0.6060606060606061,0.9403160279233883,2024-11-25 21:00:00+00:00
33,33,0.7878787878787878,0.42424242424242425,1.5363553056712942,2024-11-25 22:00:00+00:00
28,28,0.75,0.2857142857142857,2.9612382188140907,2024-11-25 23:00:00+00:00
15,15,0.8666666666666667,0.30952380952380953,4.952018808962909,2024-11-26 00:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-26 01:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-26 02:00:00+00:00
4,4,1.0,0.6666666666666666,0.03711104887995219,2024-11-26 05:00:00+00:00
4,4,0.5,0.2222222222222222,9.890412803579625,2024-11-26 06:00:00+00:00
4,4,0.0,0.0,3.7214226270320796,2024-11-26 08:00:00+00:00
3,3,0.0,0.0,14.197874506608718,2024-11-26 15:00:00+00:00
4,4,0.5,0.2222222222222222,1.115652923109634,2024-11-26 16:00:00+00:00
4,4,0.0,0.0,18.623661023615554,2024-11-26 18:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-26 19:00:00+00:00
9,9,0.7777777777777778,0.2916666666666667,0.48159733662745907,2024-11-26 20:00:00+00:00
9,9,0.7777777777777778,0.2916666666666667,8.062079719249766,2024-11-26 21:00:00+00:00
11,11,0.8181818181818182,0.3,0.9799723388553552,2024-11-26 22:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-27 00:00:00+00:00
7,7,1.0,0.3333333333333333,2.2204460492503136e-16,2024-11-27 02:00:00+00:00
3,3,0.6666666666666666,0.26666666666666666,12.059554080229333,2024-12-12 12:00:00+00:00
3,3,0.6666666666666666,0.26666666666666666,12.051050620449706,2024-12-12 13:00:00+00:00
5,5,0.4,0.19047619047619047,3.1061718954218813,2024-12-12 14:00:00+00:00
17,17,0.8823529411764706,0.8515037593984962,2.458459395574001,2024-12-12 15:00:00+00:00
16,16,0.6875,0.47222222222222215,3.5022551551878127,2024-12-12 16:00:00+00:00
17,17,0.7647058823529411,0.7683501683501683,3.0661690136357804,2024-12-12 17:00:00+00:00
9,9,0.3333333333333333,0.3055555555555555,1.2112487908078584,2024-12-12 18:00:00+00:00
5,5,1.0,0.3333333333333333,2.2204460492503136e-16,2024-12-12 22:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2024-12-12 23:00:00+00:00
8,8,0.5,0.2222222222222222,6.012064990353311,2024-12-13 00:00:00+00:00
7,7,1.0,0.3333333333333333,2.2204460492503136e-16,2024-12-13 02:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2024-12-13 03:00:00+00:00
31,31,0.8709677419354839,0.7000000000000001,0.20586664790868428,2024-12-13 04:00:00+00:00
6,6,0.8333333333333334,0.30303030303030304,6.011162351318345,2024-12-13 05:00:00+00:00
3,3,0.6666666666666666,0.26666666666666666,12.449570959119784,2024-12-13 06:00:00+00:00
11,11,0.9090909090909091,0.5803921568627451,3.38449420765207,2024-12-13 16:00:00+00:00
8,8,0.75,0.48888888888888893,0.49336336612583864,2024-12-13 17:00:00+00:00
4,4,0.75,0.2857142857142857,9.288156660351063,2024-12-13 18:00:00+00:00
7,7,0.7142857142857143,0.2777777777777778,0.8153819615721654,2024-12-13 20:00:00+00:00
9,9,0.5555555555555556,0.2380952380952381,4.636210775019257,2024-12-13 21:00:00+00:00
16,16,1.0,0.6666666666666666,0.06825394385851064,2024-12-13 22:00:00+00:00
4,4,0.75,0.2857142857142857,9.052884869152447,2024-12-13 23:00:00+00:00
4,4,0.75,0.2857142857142857,9.02130998748951,2024-12-14 00:00:00+00:00
5,5,0.8,0.2962962962962963,7.310815642327293,2024-12-14 01:00:00+00:00
4,4,0.25,0.13333333333333333,1.398484563285718,2024-12-14 08:00:00+00:00
4,4,0.75,0.2857142857142857,9.18186869753115,2024-12-14 09:00:00+00:00
3,3,0.0,0.0,36.04365338911715,2024-12-14 11:00:00+00:00
8,8,0.25,0.16666666666666666,6.827535316854518,2024-12-14 14:00:00+00:00
47,47,0.7659574468085106,0.2891566265060241,4.040720130253265,2024-12-14 15:00:00+00:00
17,17,0.4117647058823529,0.3833333333333333,5.465617669735746,2024-12-14 16:00:00+00:00
24,24,0.75,0.7005291005291006,5.105012922691301,2024-12-14 17:00:00+00:00
10,10,0.8,0.2962962962962963,0.3320598482145378,2024-12-14 18:00:00+00:00
