lon,lat,elev,obs_phase,pred_phase,pred_support_snow,pred_support_mix,pred_support_rain,obs_support_snow,obs_support_mix,obs_support_rain
-119.8693339,39.602419,1591.5308837890625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.789474444822,39.467373955931,1370.559814453125,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-120.151957254969,39.6700191870701,1904.4161376953125,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-120.103913472849,39.3597906521326,1783.9434814453125,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-120.68613482384,38.7394815438513,892.43505859375,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-120.4689769,39.8056649,1484.389892578125,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.8693141,39.6024387,1591.5308837890625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.8708015,39.5249159,1486.023193359375,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.7053879,39.6660124,1382.35986328125,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.9667774,39.2520091,2016.028076171875,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.8692828,39.6024303,1591.5308837890625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-120.4689717,39.8055946,1484.389892578125,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.8323173,39.4791589,1471.4849853515625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.877410263522,39.6592998047225,1532.5301513671875,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.807313130297,39.4905922089874,1379.580322265625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.8708727,39.5248389,1486.023193359375,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.8692828,39.6024303,1591.5308837890625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.7053957,39.666093,1382.35986328125,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.777917400132,39.3828501080791,1549.0029296875,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.9668039,39.2520674,2016.028076171875,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.8323078,39.4790593,1471.4849853515625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.869375,39.6023915,1591.5308837890625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.2364261,39.5970487,1270.4388427734375,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
